Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	0.00242111
2.01	0.00167111
2.02	0.00700766
2.03	0.0178353
2.04	0.00625956
2.05	-0.0748547
2.06	-0.203522
2.07	-0.328051
2.08	-0.40288
2.09	-0.423801
2.1	-0.431975
2.11	-0.431165
2.12	-0.435829
2.13	-0.435232
2.14	-0.420623
2.15	-0.312429
2.16	0.0289229
2.17	0.339973
2.18	0.230485
2.19	-0.145298
2.2	-0.409335
2.21	-0.464307
2.22	-0.447156
2.23	-0.431222
2.24	-0.419247
2.25	-0.422975
2.26	-0.405478
2.27	-0.388927
2.28	-0.34827
2.29	-0.287789
2.3	-0.238667
2.31	-0.184192
2.32	-0.15093
2.33	-0.106295
2.34	-0.030689
2.35	0.0327828
2.36	0.103065
2.37	0.172606
2.38	0.235509
2.39	0.273404
2.4	0.261796
2.41	0.229486
2.42	0.163493
2.43	0.0904811
2.44	0.011952
2.45	-0.0782968
2.46	-0.127582
2.47	-0.168396
2.48	-0.177363
2.49	-0.157761
2.5	-0.155211
2.51	-0.137937
2.52	-0.130289
2.53	-0.122306
2.54	-0.118217
2.55	-0.132735
2.56	-0.114335
2.57	-0.106892
2.58	-0.103527
2.59	-0.0911457
2.6	-0.0933822
2.61	-0.0840351
2.62	-0.0845916
2.63	-0.0864657
2.64	-0.0847169
2.65	-0.093147
2.66	-0.0879575
2.67	-0.0974908
2.68	-0.104938
2.69	-0.0965752
2.7	-0.096358
2.71	-0.0761814
2.72	-0.0646807
2.73	-0.0500541
2.74	-0.034288
2.75	-0.0410533
2.76	-0.049584
2.77	-0.0929744
2.78	-0.136224
2.79	-0.155075
2.8	-0.169718
2.81	-0.165676
2.82	-0.173579
2.83	-0.186277
2.84	-0.157546
2.85	0.0437236
2.86	0.447821
2.87	0.627353
2.88	0.369251
2.89	0.0346993
2.9	-0.128144
2.91	-0.146576
2.92	-0.153179
2.93	-0.153925
2.94	-0.145972
2.95	-0.148346
2.96	-0.128073
2.97	-0.120903
2.98	-0.108933
2.99	-0.08152
3	-0.0642524
3.01	-0.0346624
3.02	-0.0114269
3.03	0.0286053
3.04	0.0808996
3.05	0.122081
3.06	0.181696
3.07	0.224796
3.08	0.26025
3.09	0.279204
3.1	0.263152
3.11	0.237557
3.12	0.169506
3.13	0.0894064
3.14	0.0171187
3.15	-0.0555833
3.16	-0.0928422
3.17	-0.118279
3.18	-0.12591
3.19	-0.119825
3.2	-0.125418
3.21	-0.124461
3.22	-0.134723
3.23	-0.130989
3.24	-0.115657
3.25	-0.116574
3.26	-0.104756
3.27	-0.106532
3.28	-0.106806
3.29	-0.099865
3.3	-0.10634
3.31	-0.101333
3.32	-0.107755
3.33	-0.109226
3.34	-0.117065
3.35	-0.1416
3.36	-0.130213
3.37	-0.118055
3.38	-0.118912
3.39	-0.10986
3.4	-0.11532
3.41	-0.105927
3.42	-0.0976739
3.43	-0.0776113
3.44	-0.0474426
3.45	-0.0459389
3.46	-0.0302835
3.47	-0.0306018
3.48	-0.0569225
3.49	-0.0918096
3.5	-0.135468
3.51	-0.136471
3.52	-0.134565
3.53	-0.139776
3.54	-0.151329
3.55	-0.164938
3.56	-0.0219417
3.57	0.35245
3.58	0.663995
3.59	0.534709
3.6	0.168112
3.61	-0.0417674
3.62	-0.0980422
3.63	-0.103873
3.64	-0.0981
3.65	-0.10354
3.66	-0.0903349
3.67	-0.084797
3.68	-0.0758735
3.69	-0.0534931
3.7	-0.0425509
3.71	-0.0197326
3.72	-0.00481147
3.73	0.013607
3.74	0.0510911
3.75	0.083206
3.76	0.144659
3.77	0.201812
3.78	0.243588
3.79	0.282635
3.8	0.289986
3.81	0.296226
3.82	0.268132
3.83	0.210715
3.84	0.149333
3.85	0.0641255
3.86	0.00671906
3.87	-0.0423369
3.88	-0.0817482
3.89	-0.0918827
3.9	-0.108034
3.91	-0.106706
3.92	-0.105942
3.93	-0.109795
3.94	-0.101916
3.95	-0.10567
3.96	-0.0993592
3.97	-0.103327
3.98	-0.101689
3.99	-0.0918536
4	-0.104124
4.01	-0.10015
4.02	-0.101734
4.03	-0.102376
4.04	-0.0968786
4.05	-0.114455
4.06	-0.112665
4.07	-0.117464
4.08	-0.124465
4.09	-0.119703
4.1	-0.132779
4.11	-0.127429
4.12	-0.118475
4.13	-0.10162
4.14	-0.0780552
4.15	-0.0703866
4.16	-0.0483546
4.17	-0.0432507
4.18	-0.0609177
4.19	-0.0925184
4.2	-0.141693
4.21	-0.154883
4.22	-0.155997
4.23	-0.15088
4.24	-0.145637
4.25	-0.176173
4.26	-0.149017
4.27	0.0696055
4.28	0.473074
4.29	0.656924
4.3	0.385746
4.31	0.0650371
4.32	-0.0759749
4.33	-0.0921732
4.34	-0.0719401
4.35	-0.069537
4.36	-0.0519423
4.37	-0.0473533
4.38	-0.0448434
4.39	-0.0294206
4.4	-0.0223735
4.41	0.00389321
4.42	0.0259712
4.43	0.0507459
4.44	0.084468
4.45	0.103916
4.46	0.150951
4.47	0.205108
4.48	0.255958
4.49	0.307194
4.5	0.331777
4.51	0.351473
4.52	0.335891
